n,temps,nb_inter,nb_2opt
10,0.02311992645263672,0,1
10,0.041563987731933594,2,1
10,0.02389812469482422,0,1
10,0.01536703109741211,0,1
10,0.04180598258972168,2,1
10,0.05771803855895996,2,0
10,0.06327509880065918,1,1
10,0.07676482200622559,3,1
10,0.041908979415893555,1,1
10,0.03189396858215332,1,1
10,0.03993701934814453,2,1
50,29.441420793533325,22,3
1,0.0002512931823730469,0,0
1,0.0001850128173828125,0,0
1,0.0001652240753173828,0,0
1,0.000164031982421875,0,0
1,0.000164031982421875,0,0
1,0.00016617774963378906,0,0
1,0.000164031982421875,0,0
1,0.00017213821411132812,0,0
1,0.00016498565673828125,0,0
1,0.0001652240753173828,0,0
1,0.00022792816162109375,0,0
1,0.00014328956604003906,0,0
1,0.00014090538024902344,0,0
1,0.0001399517059326172,0,0
1,0.0001399517059326172,0,0
1,0.00013780593872070312,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.0001373291015625,0,0
1,0.00013899803161621094,0,0
1,0.00028395652770996094,0,0
1,0.00016999244689941406,0,0
1,0.0001659393310546875,0,0
1,0.000164031982421875,0,0
1,0.0001647472381591797,0,0
1,0.0001747608184814453,0,0
1,0.00017714500427246094,0,0
1,0.00017786026000976562,0,0
1,0.00017690658569335938,0,0
1,0.00016689300537109375,0,0
1,0.0002498626708984375,0,0
1,0.0001690387725830078,0,0
1,0.000164031982421875,0,0
1,0.00016379356384277344,0,0
1,0.0001621246337890625,0,0
1,0.00016117095947265625,0,0
1,0.00016117095947265625,0,0
1,0.000164031982421875,0,0
1,0.00016188621520996094,0,0
1,0.0001621246337890625,0,0
1,0.00024700164794921875,0,0
1,0.00016689300537109375,0,0
1,0.0001571178436279297,0,0
1,0.00014400482177734375,0,0
1,0.00014519691467285156,0,0
1,0.0001468658447265625,0,0
1,0.00014472007751464844,0,0
1,0.00014400482177734375,0,0
1,0.00015306472778320312,0,0
1,0.00014472007751464844,0,0
9,0.03565478324890137,2,1
9,0.017125844955444336,1,2
9,0.04599499702453613,3,2
9,0.014662981033325195,0,1
9,0.02379298210144043,1,0
9,0.025412797927856445,3,1
9,0.04434609413146973,3,0
9,0.0339508056640625,2,1
9,0.02833414077758789,1,1
9,0.01673603057861328,0,1
10,0.061781883239746094,2,1
10,0.04521608352661133,2,1
10,0.0579838752746582,3,1
10,0.07937169075012207,3,0
10,0.030580997467041016,1,1
10,0.04486799240112305,2,1
10,0.02174091339111328,0,1
10,0.05553412437438965,1,0
10,0.1556408405303955,7,0
10,0.0410768985748291,2,1
11,0.06873393058776855,1,0
11,0.07487010955810547,2,1
11,0.07131123542785645,2,1
11,0.12977004051208496,3,1
11,0.034796953201293945,1,1
11,0.05086684226989746,2,1
11,0.03495502471923828,1,1
11,0.0719461441040039,1,1
11,0.07109808921813965,1,0
11,0.2620828151702881,7,1
1,0.00025200843811035156,0,0
1,0.00017118453979492188,0,0
1,0.00016689300537109375,0,0
1,0.00017690658569335938,0,0
1,0.00015807151794433594,0,0
1,0.0001461505889892578,0,0
1,0.00014710426330566406,0,0
1,0.0001461505889892578,0,0
1,0.00014710426330566406,0,0
1,0.00014591217041015625,0,0
2,0.00033783912658691406,0,0
2,0.0003209114074707031,0,0
2,0.00030994415283203125,0,0
2,0.00031185150146484375,0,0
2,0.0003120899200439453,0,0
2,0.0003151893615722656,0,0
2,0.0002968311309814453,0,0
2,0.0002961158752441406,0,0
2,0.00029397010803222656,0,0
2,0.0003008842468261719,0,0
3,0.0011060237884521484,0,1
3,0.0014290809631347656,0,0
3,0.0007932186126708984,0,0
3,0.0007767677307128906,0,0
3,0.0010459423065185547,0,1
3,0.0009942054748535156,0,1
3,0.001538991928100586,0,0
3,0.0007381439208984375,0,0
3,0.0009908676147460938,0,1
3,0.0013949871063232422,0,0
4,0.0038788318634033203,1,0
4,0.0021729469299316406,0,0
4,0.003643035888671875,1,0
4,0.0027709007263183594,0,1
4,0.001699209213256836,0,1
4,0.0035326480865478516,1,0
4,0.0028989315032958984,0,1
4,0.0021181106567382812,0,0
4,0.004080057144165039,1,1
4,0.001714944839477539,0,1
5,0.0055370330810546875,1,1
5,0.003681182861328125,0,1
5,0.009362936019897461,1,0
5,0.003668069839477539,0,1
5,0.005238771438598633,1,0
5,0.002580881118774414,0,1
5,0.0034749507904052734,0,1
5,0.0028018951416015625,0,1
5,0.00333404541015625,0,0
5,0.0033180713653564453,0,0
6,0.006947994232177734,0,0
6,0.007088899612426758,0,0
6,0.012063980102539062,1,0
6,0.004486083984375,0,0
6,0.012563943862915039,1,1
6,0.0050907135009765625,0,1
6,0.0036411285400390625,0,1
6,0.00768589973449707,1,1
6,0.007496833801269531,0,1
6,0.007315874099731445,1,1
7,0.009713172912597656,1,1
7,0.022011995315551758,2,1
7,0.014939069747924805,1,0
7,0.015737056732177734,1,1
7,0.022200822830200195,2,1
7,0.011884212493896484,1,1
7,0.008027076721191406,0,1
7,0.009330034255981445,0,1
7,0.00648808479309082,0,1
7,0.009068965911865234,0,1
8,0.04082322120666504,2,1
8,0.022172212600708008,1,0
8,0.03618264198303223,3,1
8,0.013535022735595703,0,1
8,0.008141040802001953,0,1
8,0.012269735336303711,1,1
8,0.01846909523010254,0,1
8,0.036208152770996094,3,1
8,0.03798508644104004,3,0
8,0.011748075485229492,0,1
9,0.02291703224182129,1,0
9,0.014413118362426758,0,1
9,0.053063154220581055,4,1
9,0.014061212539672852,0,1
9,0.08262395858764648,7,1
9,0.03708291053771973,2,1
9,0.014600992202758789,0,1
9,0.06110811233520508,5,1
9,0.010431051254272461,0,1
9,0.023488759994506836,1,1
10,0.11546182632446289,5,0
10,0.028512954711914062,1,1
10,0.07330799102783203,5,0
10,0.02272772789001465,0,0
10,0.012984991073608398,0,1
10,0.09674286842346191,4,0
10,0.022476911544799805,0,1
10,0.050276756286621094,3,1
10,0.04045987129211426,1,1
10,0.06470990180969238,4,1
11,0.15662884712219238,6,0
11,0.046545982360839844,2,1
11,0.15164589881896973,4,1
11,0.07163691520690918,2,1
11,0.02723407745361328,0,1
11,0.02707695960998535,0,1
11,0.24463677406311035,7,1
11,0.0686650276184082,2,2
11,0.05087614059448242,1,1
11,0.08932089805603027,3,1
12,0.10558581352233887,2,1
12,0.08288002014160156,2,1
12,0.07577919960021973,1,2
12,0.039247751235961914,1,1
12,0.10978507995605469,2,1
12,0.10970592498779297,3,1
12,0.055274248123168945,1,1
12,0.05523204803466797,1,1
12,0.08747601509094238,2,1
12,0.15010714530944824,5,1
13,0.0364987850189209,0,1
13,0.03780317306518555,0,1
13,0.09314489364624023,2,1
13,0.02777099609375,0,1
13,0.046769142150878906,0,1
13,0.12449193000793457,3,1
13,0.1622929573059082,3,1
13,0.20033502578735352,4,1
13,0.04950404167175293,0,1
13,0.09266400337219238,2,1
14,0.28478097915649414,4,1
14,0.19257807731628418,3,1
14,0.10323786735534668,2,1
14,0.2985498905181885,4,0
14,0.09466409683227539,1,1
14,0.10599684715270996,2,1
14,0.12354707717895508,1,1
14,0.17919087409973145,3,1
14,0.3086509704589844,6,1
14,0.05112791061401367,1,1
15,0.08202385902404785,1,1
15,0.31072187423706055,5,1
15,0.1187431812286377,2,1
15,0.3284320831298828,4,1
15,0.1500551700592041,3,1
15,0.10800719261169434,1,1
15,0.1968250274658203,2,1
15,0.22443795204162598,2,1
15,0.3200399875640869,5,1
15,0.2618231773376465,3,1
1,0.0002601146697998047,0,0
1,0.0001571178436279297,0,0
1,0.00015091896057128906,0,0
1,0.0001518726348876953,0,0
1,0.00018286705017089844,0,0
1,0.00014281272888183594,0,0
1,0.000141143798828125,0,0
1,0.0001399517059326172,0,0
1,0.00014090538024902344,0,0
1,0.000141143798828125,0,0
1,0.00014090538024902344,0,0
1,0.00014090538024902344,0,0
1,0.0001399517059326172,0,0
1,0.0001418590545654297,0,0
1,0.00014209747314453125,0,0
1,0.00014090538024902344,0,0
1,0.00014901161193847656,0,0
1,0.00014209747314453125,0,0
1,0.00014066696166992188,0,0
1,0.0001399517059326172,0,0
1,0.000141143798828125,0,0
1,0.000141143798828125,0,0
1,0.000141143798828125,0,0
1,0.000141143798828125,0,0
1,0.00014591217041015625,0,0
1,0.00014901161193847656,0,0
1,0.00015163421630859375,0,0
1,0.00015091896057128906,0,0
1,0.0001499652862548828,0,0
1,0.00014066696166992188,0,0
1,0.00014209747314453125,0,0
1,0.00013899803161621094,0,0
1,0.00013971328735351562,0,0
1,0.00014090538024902344,0,0
1,0.00014209747314453125,0,0
1,0.00014019012451171875,0,0
1,0.0001399517059326172,0,0
1,0.00015997886657714844,0,0
1,0.00016117095947265625,0,0
1,0.00014519691467285156,0,0
1,0.0001430511474609375,0,0
1,0.000141143798828125,0,0
1,0.00014209747314453125,0,0
1,0.00014019012451171875,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.00013899803161621094,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013685226440429688,0,0
1,0.00013780593872070312,0,0
1,0.00013709068298339844,0,0
1,0.00025200843811035156,0,0
1,0.0001590251922607422,0,0
1,0.0001418590545654297,0,0
1,0.0001380443572998047,0,0
1,0.00013780593872070312,0,0
1,0.0001399517059326172,0,0
1,0.0001380443572998047,0,0
1,0.00013780593872070312,0,0
1,0.00013828277587890625,0,0
1,0.0001373291015625,0,0
1,0.0001373291015625,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.00013828277587890625,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.00013780593872070312,0,0
1,0.00013899803161621094,0,0
1,0.00013828277587890625,0,0
1,0.0001392364501953125,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013709068298339844,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.0001392364501953125,0,0
1,0.0001380443572998047,0,0
1,0.00013709068298339844,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.0001380443572998047,0,0
1,0.00013899803161621094,0,0
1,0.0001380443572998047,0,0
1,0.00021004676818847656,0,0
1,0.0001499652862548828,0,0
1,0.00014090538024902344,0,0
2,0.00036978721618652344,0,0
2,0.0002951622009277344,0,0
2,0.0002942085266113281,0,0
2,0.0002918243408203125,0,0
2,0.00029206275939941406,0,0
2,0.00029277801513671875,0,0
2,0.0002932548522949219,0,0
2,0.00029015541076660156,0,0
2,0.00030303001403808594,0,0
2,0.0002963542938232422,0,0
2,0.0002982616424560547,0,0
2,0.0002999305725097656,0,0
2,0.0002999305725097656,0,0
2,0.0002989768981933594,0,0
2,0.0003018379211425781,0,0
2,0.00030112266540527344,0,0
2,0.00029778480529785156,0,0
2,0.0002999305725097656,0,0
2,0.00034618377685546875,0,0
2,0.00033473968505859375,0,0
2,0.0002980232238769531,0,0
2,0.0002932548522949219,0,0
2,0.00029087066650390625,0,0
2,0.0002942085266113281,0,0
2,0.0002918243408203125,0,0
2,0.00028896331787109375,0,0
2,0.0002918243408203125,0,0
2,0.0002923011779785156,0,0
2,0.0002899169921875,0,0
2,0.00029015541076660156,0,0
2,0.00029277801513671875,0,0
2,0.0002911090850830078,0,0
2,0.0002899169921875,0,0
2,0.0002918243408203125,0,0
2,0.0002932548522949219,0,0
2,0.0002911090850830078,0,0
2,0.0004069805145263672,0,0
2,0.0003006458282470703,0,0
2,0.0002989768981933594,0,0
2,0.00029587745666503906,0,0
2,0.0003211498260498047,0,0
2,0.00029587745666503906,0,0
2,0.0002949237823486328,0,0
2,0.0002951622009277344,0,0
2,0.0003032684326171875,0,0
2,0.0002970695495605469,0,0
2,0.00029397010803222656,0,0
2,0.0002949237823486328,0,0
2,0.0002949237823486328,0,0
2,0.0002970695495605469,0,0
2,0.0002930164337158203,0,0
2,0.00029277801513671875,0,0
2,0.00030422210693359375,0,0
2,0.0002951622009277344,0,0
2,0.00029397010803222656,0,0
2,0.0002949237823486328,0,0
2,0.0002949237823486328,0,0
2,0.0002932548522949219,0,0
2,0.0002949237823486328,0,0
2,0.00029468536376953125,0,0
2,0.0002949237823486328,0,0
2,0.0002949237823486328,0,0
2,0.0002930164337158203,0,0
2,0.0002949237823486328,0,0
2,0.0002970695495605469,0,0
2,0.0002970695495605469,0,0
2,0.00030803680419921875,0,0
2,0.0003001689910888672,0,0
2,0.0002999305725097656,0,0
2,0.00031304359436035156,0,0
2,0.0002980232238769531,0,0
2,0.0002970695495605469,0,0
2,0.000293731689453125,0,0
2,0.0002970695495605469,0,0
2,0.00029730796813964844,0,0
2,0.0002970695495605469,0,0
2,0.0002970695495605469,0,0
2,0.00031280517578125,0,0
2,0.00029778480529785156,0,0
2,0.0002980232238769531,0,0
2,0.0002980232238769531,0,0
2,0.0002989768981933594,0,0
2,0.0002949237823486328,0,0
2,0.0002942085266113281,0,0
2,0.0002970695495605469,0,0
2,0.0003147125244140625,0,0
2,0.0003001689910888672,0,0
2,0.0003120899200439453,0,0
2,0.00029468536376953125,0,0
2,0.00029468536376953125,0,0
2,0.00029397010803222656,0,0
2,0.0002930164337158203,0,0
2,0.0002949237823486328,0,0
2,0.0002930164337158203,0,0
2,0.0002932548522949219,0,0
2,0.0002949237823486328,0,0
2,0.0002968311309814453,0,0
2,0.000293731689453125,0,0
2,0.00029277801513671875,0,0
2,0.0004298686981201172,0,0
3,0.0007348060607910156,0,0
3,0.000995635986328125,0,1
3,0.0007059574127197266,0,0
3,0.0009868144989013672,0,1
3,0.0014009475708007812,0,0
3,0.0007009506225585938,0,0
3,0.0006999969482421875,0,0
3,0.0006961822509765625,0,0
3,0.0009720325469970703,0,1
3,0.0013921260833740234,0,0
3,0.000993967056274414,0,1
3,0.0015461444854736328,0,0
3,0.0010020732879638672,0,1
3,0.0009758472442626953,0,1
3,0.0006971359252929688,0,0
3,0.0006978511810302734,0,0
3,0.001371145248413086,0,0
3,0.000698089599609375,0,0
3,0.0013687610626220703,0,0
3,0.0006999969482421875,0,0
3,0.0009799003601074219,0,1
3,0.0007100105285644531,0,0
3,0.0007188320159912109,0,0
3,0.001035928726196289,0,1
3,0.001416921615600586,0,0
3,0.0009899139404296875,0,1
3,0.0013780593872070312,0,0
3,0.0009760856628417969,0,1
3,0.0009658336639404297,0,1
3,0.0006978511810302734,0,0
3,0.0010218620300292969,0,1
3,0.0006930828094482422,0,0
3,0.001608133316040039,0,0
3,0.0007040500640869141,0,0
3,0.0009882450103759766,0,1
3,0.0011913776397705078,0,1
3,0.0013959407806396484,0,0
3,0.00075531005859375,0,0
3,0.0006961822509765625,0,0
3,0.0019881725311279297,0,0
3,0.001375436782836914,0,0
3,0.0007641315460205078,0,0
3,0.000982046127319336,0,1
3,0.0006930828094482422,0,0
3,0.0014390945434570312,0,0
3,0.0007128715515136719,0,0
3,0.0009872913360595703,0,1
3,0.0012619495391845703,0,1
3,0.0010170936584472656,0,1
3,0.0009961128234863281,0,1
3,0.0013849735260009766,0,0
3,0.001367807388305664,0,0
3,0.003097057342529297,1,0
3,0.0009829998016357422,0,1
3,0.001631021499633789,0,0
3,0.0007631778717041016,0,0
3,0.0007028579711914062,0,0
3,0.0006978511810302734,0,0
3,0.0006961822509765625,0,0
3,0.0009710788726806641,0,1
3,0.0013737678527832031,0,0
3,0.0013730525970458984,0,0
3,0.0013840198516845703,0,0
3,0.0009789466857910156,0,1
3,0.0009779930114746094,0,1
3,0.0007009506225585938,0,0
3,0.0007023811340332031,0,0
3,0.002905130386352539,1,1
3,0.0007848739624023438,0,0
3,0.0014829635620117188,0,0
3,0.0010838508605957031,0,1
3,0.0010077953338623047,0,1
3,0.0014240741729736328,0,0
3,0.0007178783416748047,0,0
3,0.0014219284057617188,0,0
3,0.0009911060333251953,0,1
3,0.0013949871063232422,0,0
3,0.0006999969482421875,0,0
3,0.0013911724090576172,0,0
3,0.0009949207305908203,0,1
3,0.0014221668243408203,0,0
3,0.0013909339904785156,0,0
3,0.0018761157989501953,0,0
3,0.0007338523864746094,0,0
3,0.001374959945678711,0,0
3,0.0006918907165527344,0,0
3,0.0006971359252929688,0,0
3,0.0013659000396728516,0,0
3,0.0013611316680908203,0,0
3,0.0006918907165527344,0,0
3,0.0006988048553466797,0,0
3,0.0013620853424072266,0,0
3,0.0013701915740966797,0,0
3,0.0006928443908691406,0,0
3,0.0009710788726806641,0,1
3,0.0009691715240478516,0,1
3,0.0011069774627685547,0,1
3,0.0010497570037841797,0,1
3,0.0009868144989013672,0,1
3,0.0009751319885253906,0,1
4,0.0017249584197998047,0,1
4,0.003662109375,1,0
4,0.0016760826110839844,0,1
4,0.0022552013397216797,0,0
4,0.0016520023345947266,0,1
4,0.002315998077392578,0,1
4,0.002630949020385742,0,0
4,0.0028531551361083984,0,0
4,0.004634857177734375,1,0
4,0.002290964126586914,0,0
4,0.0017328262329101562,0,1
4,0.0016880035400390625,0,1
4,0.0016939640045166016,0,1
4,0.001664876937866211,0,1
4,0.0022678375244140625,0,0
4,0.0012061595916748047,0,0
4,0.0020880699157714844,0,0
4,0.004520893096923828,1,0
4,0.002597808837890625,0,0
4,0.002004861831665039,0,1
4,0.0012240409851074219,0,0
4,0.001191854476928711,0,0
4,0.0016717910766601562,0,1
4,0.002524852752685547,0,1
4,0.0052967071533203125,1,1
4,0.0034270286560058594,0,1
4,0.002432107925415039,0,0
4,0.0023741722106933594,0,0
4,0.0016448497772216797,0,1
4,0.0035979747772216797,1,0
4,0.0020830631256103516,0,0
4,0.00208282470703125,0,0
4,0.0016520023345947266,0,1
4,0.001190185546875,0,0
4,0.0016360282897949219,0,1
4,0.0023000240325927734,0,1
4,0.0035860538482666016,1,0
4,0.0022127628326416016,0,1
4,0.0030519962310791016,0,0
4,0.0032110214233398438,0,0
4,0.004888772964477539,1,0
4,0.004444122314453125,1,0
4,0.0017330646514892578,0,1
4,0.0021567344665527344,0,0
4,0.0016350746154785156,0,1
4,0.0011968612670898438,0,0
4,0.0026938915252685547,0,0
4,0.003599882125854492,1,0
4,0.0022919178009033203,0,0
4,0.0021390914916992188,0,0
4,0.004067897796630859,1,1
4,0.001631021499633789,0,1
4,0.002109050750732422,0,0
4,0.0020830631256103516,0,0
4,0.0020911693572998047,0,0
4,0.002567291259765625,0,1
4,0.0020952224731445312,0,0
4,0.003893136978149414,1,1
4,0.003916025161743164,1,1
4,0.0016360282897949219,0,1
4,0.0035839080810546875,1,0
4,0.0022478103637695312,0,1
4,0.002347707748413086,0,1
4,0.0049021244049072266,1,0
4,0.002660036087036133,0,0
4,0.002355813980102539,0,0
4,0.0017621517181396484,0,1
4,0.002176046371459961,0,0
4,0.0021369457244873047,0,0
4,0.002306699752807617,0,0
4,0.0016870498657226562,0,1
4,0.002627849578857422,0,1
4,0.0026209354400634766,0,1
4,0.0017170906066894531,0,1
4,0.002293109893798828,0,0
4,0.0035979747772216797,1,0
4,0.0016388893127441406,0,1
4,0.002126932144165039,0,0
4,0.0012688636779785156,0,0
4,0.0016679763793945312,0,1
4,0.0016469955444335938,0,1
4,0.003597736358642578,1,0
4,0.0034821033477783203,1,0
4,0.0022017955780029297,0,0
4,0.0023260116577148438,0,0
4,0.0016617774963378906,0,1
4,0.004014730453491211,1,1
4,0.0021648406982421875,0,0
4,0.002572774887084961,0,1
4,0.00164794921875,0,1
4,0.0012118816375732422,0,0
4,0.002135038375854492,0,0
4,0.002638101577758789,0,1
4,0.0017058849334716797,0,1
4,0.005364894866943359,2,1
4,0.0016689300537109375,0,1
4,0.0022232532501220703,0,0
4,0.005411863327026367,2,0
4,0.0020711421966552734,0,1
4,0.004781961441040039,1,0
5,0.007472991943359375,1,1
5,0.0042951107025146484,0,0
5,0.0041332244873046875,0,0
5,0.006465911865234375,0,0
5,0.005468845367431641,1,1
5,0.007120847702026367,0,1
5,0.011013269424438477,0,1
5,0.011329889297485352,0,1
5,0.007957935333251953,0,1
5,0.005597114562988281,1,1
5,0.013261079788208008,0,0
5,0.0036270618438720703,0,2
5,0.0034952163696289062,0,1
5,0.005441188812255859,1,1
5,0.009189128875732422,3,0
5,0.0027229785919189453,0,1
5,0.003551959991455078,0,1
5,0.005089998245239258,1,0
5,0.0025529861450195312,0,1
5,0.003461122512817383,0,1
5,0.00503087043762207,0,0
5,0.003175973892211914,0,0
5,0.004995822906494141,0,0
5,0.00522613525390625,1,0
5,0.003137826919555664,0,0
5,0.007046937942504883,2,0
5,0.004990816116333008,0,0
5,0.0056591033935546875,1,1
5,0.0025098323822021484,0,1
5,0.0034570693969726562,0,1
5,0.00315093994140625,0,0
5,0.003380298614501953,0,0
5,0.005012035369873047,0,0
5,0.003473997116088867,0,1
5,0.005042314529418945,0,0
5,0.005038261413574219,1,0
5,0.007533073425292969,2,1
5,0.005651950836181641,1,1
5,0.002511262893676758,0,1
5,0.0031969547271728516,0,0
5,0.0031409263610839844,0,0
5,0.002501964569091797,0,1
5,0.0025398731231689453,0,1
5,0.003222942352294922,0,0
5,0.0031948089599609375,0,0
5,0.003139972686767578,0,0
5,0.0050160884857177734,0,0
5,0.0031528472900390625,0,0
5,0.009456872940063477,1,1
5,0.005506038665771484,1,0
5,0.0035479068756103516,0,1
5,0.004003763198852539,0,1
5,0.0050847530364990234,1,0
5,0.0037539005279541016,0,1
5,0.004750967025756836,0,1
5,0.004319906234741211,0,1
5,0.003520965576171875,0,1
5,0.002519845962524414,0,1
5,0.0025610923767089844,0,1
5,0.0033261775970458984,0,0
5,0.003052949905395508,0,1
5,0.003926992416381836,0,1
5,0.0031909942626953125,0,0
5,0.003522157669067383,0,1
5,0.002850055694580078,0,1
5,0.0035161972045898438,0,1
5,0.003476858139038086,0,1
5,0.00360107421875,0,1
5,0.003480195999145508,0,1
5,0.003155946731567383,0,0
5,0.004019975662231445,0,1
5,0.003184080123901367,0,0
5,0.006150960922241211,0,0
5,0.003278017044067383,0,1
5,0.0039670467376708984,0,1
5,0.005566835403442383,0,1
5,0.011913061141967773,2,1
5,0.0062482357025146484,1,1
5,0.0030782222747802734,0,1
5,0.008109807968139648,2,1
5,0.005038022994995117,1,0
5,0.009033203125,1,0
5,0.00505518913269043,1,0
5,0.0037550926208496094,0,0
5,0.0025010108947753906,0,1
5,0.005628347396850586,1,0
5,0.003473997116088867,0,1
5,0.003131866455078125,0,0
5,0.0035789012908935547,0,1
5,0.00462794303894043,0,0
5,0.004762172698974609,0,1
5,0.004082918167114258,0,0
5,0.0037839412689208984,0,1
5,0.0031499862670898438,0,0
5,0.003732919692993164,0,1
5,0.0034830570220947266,0,1
5,0.003142833709716797,0,0
5,0.004981040954589844,1,0
5,0.007515907287597656,1,1
5,0.008603811264038086,2,0
6,0.007706165313720703,1,1
6,0.011810064315795898,2,1
6,0.017323017120361328,1,0
6,0.021914958953857422,3,0
6,0.012573957443237305,1,0
6,0.04032588005065918,6,1
6,0.006906032562255859,1,0
6,0.0073049068450927734,0,1
6,0.014675140380859375,1,0
6,0.007324934005737305,1,1
6,0.006283998489379883,0,1
6,0.009668111801147461,1,1
6,0.005120992660522461,0,1
6,0.006860017776489258,0,0
6,0.004483222961425781,0,2
6,0.004807949066162109,0,1
6,0.00523686408996582,0,1
6,0.014231681823730469,3,1
6,0.005535125732421875,0,1
6,0.004812002182006836,0,1
6,0.007112979888916016,0,1
6,0.017802953720092773,1,1
6,0.015225887298583984,1,0
6,0.006855964660644531,1,0
6,0.009805917739868164,2,1
6,0.009473800659179688,2,0
6,0.0049321651458740234,0,1
6,0.006707906723022461,0,0
6,0.0071277618408203125,1,0
6,0.011941194534301758,1,0
6,0.022716045379638672,3,1
6,0.008169889450073242,0,0
6,0.005990028381347656,0,0
6,0.01841115951538086,2,1
6,0.004880189895629883,0,1
6,0.004997968673706055,0,1
6,0.004548072814941406,0,0
6,0.007222175598144531,1,0
6,0.00494694709777832,0,1
6,0.012897968292236328,3,1
6,0.004866123199462891,0,1
6,0.007710933685302734,1,1
6,0.006627082824707031,0,0
6,0.00481104850769043,0,1
6,0.012299060821533203,1,1
6,0.012137174606323242,1,0
6,0.007871866226196289,1,1
6,0.006814002990722656,1,0
6,0.011739969253540039,1,0
6,0.004825115203857422,0,1
6,0.007364749908447266,1,1
6,0.007888078689575195,1,1
6,0.013712882995605469,2,1
6,0.010977029800415039,2,1
6,0.004922151565551758,0,1
6,0.004458904266357422,0,0
6,0.005364179611206055,0,0
6,0.00911092758178711,0,0
